product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Garçons 4-14 Ans,blanc,€,Chaussettes élastiques et douces ornées du logo Versace.,https://www.versace.com/fr/fr-fr/enfants-garcon/chaussettes-a-logo-ya002/YD000127-YA00352_YA002.html?cgid=330000,Chaussettes à logo,45 €,France,"25-27,28-30,31-33,34-37,38-40",2020-03-30 20:01:46.992626
Garçons 4-14 Ans,noir,€,"Confectionnée en cuir de qualité exceptionnelle, cette ceinture est ornée d'une boucle Medusa.",https://www.versace.com/fr/fr-fr/enfants-garcon/ceinture-palazzo-kids-ys95z/YMX00002-YB00288_YS95Z.html?cgid=330000,Ceinture Palazzo Kids,140 €,France,"S,M,L,XL",2020-03-30 20:01:47.426792
Garçons 4-14 Ans,noir,€,"Confectionnée en cuir, cette ceinture est ornée d'une boucle Medusa dorée entourée d'un motif chaîne emblématique.",https://www.versace.com/fr/fr-fr/enfants-garcon/ceinture-en-cuir-chained-medusa-kids-ys95z/YMM00005-YB00288_YS95Z.html?cgid=330000,Ceinture en cuir Chained Medusa Kids,160 €,France,"S,M,L,XL",2020-03-30 20:01:47.474091
Fille 4-14 Ans,blanc,€,"Confectionné en pur coton, ce t-shirt à col ras-du-cou et à manches longues est orné d'un imprimé rehaussé du logo 90s Vintage et de Safety Pins.",https://www.versace.com/fr/fr-fr/enfants-fille/t-shirt-a-logo-safety-pin-ya002/YC000150-YA00079_YA002.html?cgid=320000,T-shirt à logo Safety Pin,125 €,France,"4A,5A,6A,8A,10A,12A,14A",2020-03-30 20:01:50.340894
Filles 6-36 mois,rose,€,Ce short en coton stretch à imprimé Le Pop Classique offre un look confortable pour la salle de jeux. Le modèle est agrémenté d'un bouton Medusa doré et de poches arrière.,https://www.versace.com/fr/fr-fr/enfants-filles/short-a-imprime-le-pop-classique-a7252/YA000131-A232779_A7252.html?cgid=310000,Short à imprimé Le Pop Classique,175 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:53.348327
Filles 6-36 mois,imprimer,€,Ces baskets en cuir sont dotées de brides à scratch ornées de l'emblématique imprimé Barocco et rehaussées du logo Versace brodé.,https://www.versace.com/fr/fr-fr/enfants-filles/baskets-a-logo-imprime-barocco-yy21/YGX00010-YB00235_YY21.html?cgid=310000,Baskets à logo imprimé Barocco,240 €,France,"20,21,22,23,24,25,26",2020-03-30 20:01:53.451500
Filles 6-36 mois,imprimer,€,"Ces sandales amusantes idéales en été sont ornées de l'imprimé Le Pop Classique, un motif emblématique de la marque revisité dans des teintes fluorescentes. Ce modèle présente des brides à scratch au niveau des orteils et de la cheville ainsi que des bordures de couleur contrastante.",https://www.versace.com/fr/fr-fr/enfants-filles/sandales-a-imprime-le-pop-classique-yy25/YGX00016-YB00237_YY25.html?cgid=310000,Sandales à imprimé Le Pop Classique,190 €,France,"20,21,22,23,24,25,26",2020-03-30 20:01:53.525813
Filles 6-36 mois,bleu,€,"Ornées du logo Versace, ces baskets en cuir sont dotées d'une fermeture à scratch.",https://www.versace.com/fr/fr-fr/enfants-filles/baskets-a-logo-yy22/YGX00010-YB00236_YY22.html?cgid=310000,Baskets à logo,230 €,France,"20,21,22,23,24,25,26",2020-03-30 20:01:53.959953
Filles 6-36 mois,imprimer,€,"Ces sandales amusantes idéales en été sont ornées de l'imprimé Le Pop Classique, un motif emblématique de la marque revisité dans des teintes fluorescentes. Ce modèle présente des brides à scratch au niveau des orteils et de la cheville ainsi que des bordures de couleur contrastante.",https://www.versace.com/fr/fr-fr/enfants-filles/sandales-a-imprime-le-pop-classique-yy24/YGX00016-YB00237_YY24.html?cgid=310000,Sandales à imprimé Le Pop Classique,190 €,France,"20,21,22,23,24,25,26",2020-03-30 20:01:54.367465
Filles 6-36 mois,imprimer,€,"Ce t-shirt en coton stretch à col ras-du-cou arbore l'imprimé Barocco Signature : un motif all-over représentant la signature de Gianni Versace mêlée à des détails Medusa, feuille Baroque et V dorés.",https://www.versace.com/fr/fr-fr/enfants-filles/t-shirt-a-imprime-barocco-signature-a7001/YB000138-A233329_A7001.html?cgid=310000,T-shirt à imprimé Barocco Signature,130 €,France,"3-6M,6-9M,9-12M,12M18,18M24,24M,36M",2020-03-30 20:01:54.572074
